"","flgs","flgs_number","proto","proto_number","sport","dport","pkts","bytes","state","state_number","dur","mean","stddev","sum","min","max","spkts","dpkts","sbytes","dbytes","rate","srate","drate","TnBPSrcIP","TnBPDstIP","TnP_PSrcIP","TnP_PDstIP","TnP_PerProto","TnP_Per_Dport","AR_P_Proto_P_SrcIP","AR_P_Proto_P_DstIP","N_IN_Conn_P_DstIP","N_IN_Conn_P_SrcIP","AR_P_Proto_P_Sport","AR_P_Proto_P_Dport","Pkts_P_State_P_Protocol_P_DestIP","Pkts_P_State_P_Protocol_P_SrcIP","attack","category","subcategory"
"3579144","e",1,"tcp",1,51137,1443,2,120,"RST",1,0.000157,0.000157,0,0.000157,0.000157,0.000157,1,1,60,60,6369.426758,0,0,12000,12000,200,200,200,2,9326.18,9326.18,100,100,9326.18,12738.9,200,200,1,"Reconnaissance","OS_Fingerprint"
"3614243","e",1,"tcp",1,53280,110,12,1295,"FIN",6,0.23575,0.23575,0,0.23575,0.23575,0.23575,7,5,698,597,46.659595,25.450689,16.967125,88701,684271,364,1788,1788,181,18.4028,16.7628,100,22,50.9014,10.9204,1712,326,1,"Reconnaissance","Service_Scan"
"3612048","e",1,"tcp",1,37508,7937,2,120,"RST",1,0.000113,0.000113,0,0.000113,0.000113,0.000113,1,1,60,60,8849.557617,0,0,12000,12000,200,200,200,2,10939.7,10939.7,100,100,10939.7,17699.1,200,200,1,"Reconnaissance","Service_Scan"
"3588334","e",1,"tcp",1,64088,10010,2,120,"RST",1,4.6e-05,4.6e-05,0,4.6e-05,4.6e-05,4.6e-05,1,1,60,60,21739.130859,0,0,3000,12000,50,200,200,2,46511.6,43318.2,100,25,46511.6,43478.3,200,50,1,"Reconnaissance","OS_Fingerprint"
"3660312","eU",6,"udp",3,43758,36778,1,60,"INT",4,0.000264,0.000264,0,0.000264,0.000264,0.000264,1,0,60,0,0,0,0,900,3420,14,56,56,1,7031.64,7787.51,56,14,7485.03,3787.88,56,14,1,"Reconnaissance","Service_Scan"
"3598819","e",1,"tcp",1,51614,427,2,120,"RST",1,0.000135,0.000135,0,0.000135,0.000135,0.000135,1,1,60,60,7407.407715,0,0,12000,12000,200,200,200,2,12558.9,12558.9,100,100,12558.9,14814.8,200,200,1,"Reconnaissance","Service_Scan"
"3587567","e",1,"tcp",1,64088,1098,2,120,"RST",1,4.7e-05,4.7e-05,0,4.7e-05,4.7e-05,4.7e-05,1,1,60,60,21276.595703,0,0,2880,11280,48,188,188,2,50367.3,27806.5,100,24,51569.5,42553.2,176,48,1,"Reconnaissance","OS_Fingerprint"
"3599781","e",1,"udp",3,35013,1057,1,60,"INT",4,0,0,0,0,0,0,1,0,60,0,0,0,0,3816,5976,52,88,88,6,825397,251429,88,52,250000,0,88,52,1,"Reconnaissance","Service_Scan"
"3599450","e",1,"udp",3,39705,36489,1,60,"INT",4,0,0,0,0,0,0,1,0,60,0,0,0,0,2520,5220,42,83,83,2,77064.2,72173.9,83,42,195122,0,83,42,1,"Reconnaissance","Service_Scan"
"3590468","e",1,"tcp",1,63634,135,3,200,"RST",1,0.000154,0.000154,0,0.000154,0.000154,0.000154,2,1,130,70,12987.013672,6493.506836,0,6732,31426,78,363,343,108,6.89188,5.70831,87,21,19480.5,18711,132,33,1,"Reconnaissance","OS_Fingerprint"
"3636087","e",1,"tcp",1,48968,9595,2,120,"RST",1,0.001577,0.001577,0,0.001577,0.001577,0.001577,1,1,60,60,634.115417,0,0,11640,11640,194,194,194,2,576.816,576.816,100,100,576.816,1268.23,188,188,1,"Reconnaissance","Service_Scan"
"3581328","e",1,"tcp",1,36256,873,2,120,"RST",1,5e-05,5e-05,0,5e-05,5e-05,5e-05,1,1,60,60,20000,0,0,12000,12000,200,200,200,2,60551,60551,100,100,60551,40000,200,200,1,"Reconnaissance","OS_Fingerprint"
"3598664","e",1,"tcp",1,51614,100,2,120,"RST",1,0.000228,0.000228,0,0.000228,0.000228,0.000228,1,1,60,60,4385.964844,0,0,12000,12000,200,200,200,2,12955.9,12955.9,100,100,12955.9,8771.93,200,200,1,"Reconnaissance","Service_Scan"
"3606736","eU",6,"udp",3,36529,22109,1,60,"INT",4,4e-05,4e-05,0,4e-05,4e-05,4e-05,1,0,60,0,0,0,0,840,3480,14,58,58,1,29724,24126.5,58,14,36496.4,25000,58,14,1,"Reconnaissance","Service_Scan"
"3614569","e",1,"tcp",1,46886,143,20,4314,"FIN",6,0.5993,0.5993,0,0.5993,0.5993,0.5993,12,8,1896,2418,31.703653,18.354746,11.680293,305064,784757,683,1969,1969,162,54.8454,59.7199,100,35,33.3723,42.2061,1893,668,1,"Reconnaissance","Service_Scan"
"3629068","e",1,"tcp",1,59768,5033,2,120,"RST",1,0.000436,0.000436,0,0.000436,0.000436,0.000436,1,1,60,60,2293.577881,0,0,11760,11760,196,196,198,2,4200.6,4200.6,98,98,4341.26,4587.16,196,196,1,"Reconnaissance","Service_Scan"
"3582268","e",1,"tcp",1,33223,7676,2,120,"RST",1,0.004076,0.004076,0,0.004076,0.004076,0.004076,1,1,60,60,245.338577,0,0,11700,11700,195,195,195,2,628.517,628.517,100,100,628.517,490.677,190,190,1,"Reconnaissance","OS_Fingerprint"
"3623396","e",1,"tcp",1,3609,1,2,120,"RST",1,4.4e-05,4.4e-05,0,4.4e-05,4.4e-05,4.4e-05,1,1,60,60,22727.273438,0,0,3960,11880,66,198,200,198,28858.8,36303.6,99,33,45454.5,36303.6,198,66,1,"Reconnaissance","Service_Scan"
"3614333","e",1,"tcp",1,47302,465,12,2996,"FIN",6,6.352607,0.480507,0.479957,0.961015,0.000551,0.960464,7,5,1386,1610,1.731573,0.944494,0.629663,164805,890093,472,2013,2013,58,30.5728,16.3483,100,26,1.88899,7.97247,1820,434,1,"Reconnaissance","Service_Scan"
"3642919","e",1,"tcp",1,34476,3,2,134,"RST",1,8.3e-05,8.3e-05,0,8.3e-05,8.3e-05,8.3e-05,1,1,74,60,12048.193359,0,0,11792,11792,176,176,200,2,44433.2,44433.2,88,88,24096.4,24096.4,176,176,1,"Reconnaissance","Service_Scan"
"3636763","e",1,"tcp",1,34141,9415,2,120,"RST",1,0.003741,0.003741,0,0.003741,0.003741,0.003741,1,1,60,60,267.308197,0,0,11640,11640,194,194,194,2,542.293,542.293,100,100,542.293,534.616,188,188,1,"Reconnaissance","Service_Scan"
"3607125","eU",6,"udp",3,36529,34422,1,60,"INT",4,3.7e-05,3.7e-05,0,3.7e-05,3.7e-05,3.7e-05,1,0,60,0,0,0,0,840,3420,14,57,57,1,26022.3,23189.6,57,14,26128.3,27027,57,14,1,"Reconnaissance","Service_Scan"
"3627685","e",1,"tcp",1,2082,1,1,60,"RST",1,0,0,0,0,0,0,1,0,60,0,0,0,0,2040,6000,34,100,100,100,0,0,100,34,0,0,100,34,1,"Reconnaissance","Service_Scan"
"3593808","e",1,"tcp",1,55499,54328,2,120,"RST",1,0.001514,0.001514,0,0.001514,0.001514,0.001514,1,1,60,60,660.501953,0,0,12000,12000,200,200,200,2,2725.87,2725.87,100,100,2725.87,1321,200,200,1,"Reconnaissance","OS_Fingerprint"
"3612676","e",1,"tcp",1,48504,995,6,466,"RST",1,0.210136,0.210136,0,0.210136,0.210136,0.210136,3,3,260,206,23.794115,9.517646,9.517646,76022,174849,552,1304,1304,135,30.8978,41.2375,100,43,28.5529,44.767,301,179,1,"Reconnaissance","Service_Scan"
"3630122","e s",2,"tcp",1,1589,1023,4,240,"RST",1,0.002074,0.002074,0,0.002074,0.002074,0.002074,3,1,180,60,1446.480225,964.32019,0,17100,21180,285,353,353,4,1889.73,1695.05,100,73,1889.73,1928.64,353,285,1,"Reconnaissance","Service_Scan"
"3627323","e",1,"tcp",1,1986,1,1,60,"RST",1,0,0,0,0,0,0,1,0,60,0,0,0,0,1980,6000,33,100,100,100,0,0,100,33,0,0,100,33,1,"Reconnaissance","Service_Scan"
"3598173","e",1,"tcp",1,50919,1072,2,120,"RST",1,3.3e-05,3.3e-05,0,3.3e-05,3.3e-05,3.3e-05,1,1,60,60,30303.029297,0,0,9720,9720,162,162,200,2,9473.13,9473.13,81,81,9473.13,60606.1,162,162,1,"Reconnaissance","Service_Scan"
"3618792","e",1,"tcp",1,48222,3306,13,1113,"FIN",6,0.19806,0.19806,0,0.19806,0.19806,0.19806,7,6,532,581,60.5877,30.29385,25.244875,27825,111300,325,1300,1300,1300,65.5758,65.5556,100,25,65.6367,65.5556,1300,325,1,"Reconnaissance","Service_Scan"
"3667016","e",1,"tcp",1,64482,3826,2,120,"RST",1,0.004196,0.004196,0,0.004196,0.004196,0.004196,1,1,60,60,238.32222,0,0,11700,11700,195,195,195,2,585.86,585.86,100,100,585.86,476.644,190,190,1,"Reconnaissance","Service_Scan"
"3645896","e",1,"tcp",1,60541,5810,2,120,"RST",1,4.2e-05,4.2e-05,0,4.2e-05,4.2e-05,4.2e-05,1,1,60,60,23809.523438,0,0,12060,12060,201,201,201,2,29986.6,29986.6,100,100,29986.6,47619,201,201,1,"Reconnaissance","Service_Scan"
"3641806","eU",6,"udp",3,43776,34125,1,60,"INT",4,0.000117,0.000117,0,0.000117,0.000117,0.000117,1,0,60,0,0,0,0,900,3480,15,58,58,1,8237.23,8170.17,58,15,9038.62,8547.01,58,15,1,"Reconnaissance","Service_Scan"
"3608610","eU",6,"udp",3,36529,775,1,60,"INT",4,2.7e-05,2.7e-05,0,2.7e-05,2.7e-05,2.7e-05,1,0,60,0,0,0,0,840,3663,14,57,57,1,19337,14390.3,57,14,24691.4,37037,57,14,1,"Reconnaissance","Service_Scan"
"3628928","e",1,"tcp",1,59768,705,2,120,"RST",1,0.000545,0.000545,0,0.000545,0.000545,0.000545,1,1,60,60,1834.862305,0,0,12000,12000,200,200,200,2,3111.05,3111.05,100,100,3111.05,3669.72,200,200,1,"Reconnaissance","Service_Scan"
"3579790","e",1,"tcp",1,49203,425,2,120,"RST",1,9.4e-05,9.4e-05,0,9.4e-05,9.4e-05,9.4e-05,1,1,60,60,10638.297852,0,0,12000,12000,200,200,200,2,17219.1,17219.1,100,100,17219.1,21276.6,200,200,1,"Reconnaissance","OS_Fingerprint"
"3634980","e",1,"tcp",1,56972,7004,2,120,"RST",1,0.003204,0.003204,0,0.003204,0.003204,0.003204,1,1,60,60,312.109863,0,0,11880,11880,198,198,198,2,738.969,738.969,100,100,738.969,624.22,196,196,1,"Reconnaissance","Service_Scan"
"3632971","e",1,"tcp",1,2493,434,2,120,"RST",1,0.000976,0.000976,0,0.000976,0.000976,0.000976,1,1,60,60,1024.59021,0,0,12060,12060,201,201,201,2,1649.84,1649.84,100,100,1649.84,2049.18,201,201,1,"Reconnaissance","Service_Scan"
"3627834","e",1,"tcp",1,1559,1,1,60,"RST",1,0,0,0,0,0,0,1,0,60,0,0,0,0,2040,6000,34,100,100,100,0,0,100,34,0,0,100,34,1,"Reconnaissance","Service_Scan"
"3579851","e",1,"tcp",1,49203,17,2,120,"RST",1,0.000189,0.000189,0,0.000189,0.000189,0.000189,1,1,60,60,5291.005371,0,0,12000,12000,200,200,200,2,16243,16243,100,100,16243,10582,200,200,1,"Reconnaissance","OS_Fingerprint"
"3594407","e",1,"tcp",1,55499,49155,2,120,"RST",1,0.000587,0.000587,0,0.000587,0.000587,0.000587,1,1,60,60,1703.577515,0,0,12060,12060,201,201,201,2,2910.22,2910.22,100,100,2910.22,3407.16,201,201,1,"Reconnaissance","OS_Fingerprint"
"3609160","e",1,"udp",3,5353,57131,1,220,"INT",4,0,0,0,0,0,0,1,0,220,0,0,0,0,2980,3826,23,49,57,2,0,0,30,19,0,0,8,15,1,"Reconnaissance","Service_Scan"
"3600036","eU",6,"udp",3,35008,16779,1,60,"INT",4,5.8e-05,5.8e-05,0,5.8e-05,5.8e-05,5.8e-05,1,0,60,0,0,0,0,840,3420,14,57,57,1,16355.1,18855.4,57,14,22026.4,17241.4,57,14,1,"Reconnaissance","Service_Scan"
"3600761","eU",6,"udp",3,39704,2051,1,60,"INT",4,6e-06,6e-06,0,6e-06,6e-06,6e-06,1,0,60,0,0,0,0,900,3429,15,57,57,1,23183.9,20400.9,57,15,30555.6,166667,57,15,1,"Reconnaissance","Service_Scan"
"3626398","e",1,"tcp",1,1822,446,2,120,"RST",1,0.00074,0.00074,0,0.00074,0.00074,0.00074,1,1,60,60,1351.351318,0,0,12000,12000,200,200,200,2,1650.75,1650.75,100,100,1650.75,2702.7,200,200,1,"Reconnaissance","Service_Scan"
"3592014","e",1,"tcp",1,33423,5631,2,120,"RST",1,0.000987,0.000987,0,0.000987,0.000987,0.000987,1,1,60,60,1013.171265,0,0,12120,12120,202,202,202,2,2274.29,2274.29,100,100,2274.29,2026.34,202,202,1,"Reconnaissance","OS_Fingerprint"
"3664909","e",1,"tcp",1,61890,16993,2,120,"RST",1,0.003917,0.003917,0,0.003917,0.003917,0.003917,1,1,60,60,255.29744,0,0,11940,11940,199,199,199,2,823.942,823.942,100,100,823.942,510.595,198,198,1,"Reconnaissance","Service_Scan"
"3651999","e",1,"tcp",1,40209,668,2,120,"RST",1,0.0036,0.0036,0,0.0036,0.0036,0.0036,1,1,60,60,277.777771,0,0,12000,12000,200,200,200,2,1163.39,1163.39,100,100,1163.39,555.556,200,200,1,"Reconnaissance","Service_Scan"
