"","flgs_number","pkts","bytes","state_number","dur","mean","stddev","sum","min","max","spkts","dpkts","sbytes","dbytes","rate","srate","drate","TnP_PDstIP","TnP_PerProto","AR_P_Proto_P_SrcIP","N_IN_Conn_P_DstIP","AR_P_Proto_P_Dport","attack","category","subcategory"
"3576945",1,40,7431,6,171.097824,0.103549,0.13648,0.414195,0.006026,0.338744,21,19,2996,4435,0.22794,0.116892,0.105203,40,228373,17.9997,1,0.309227,0,"Normal","Normal"
"3576946",1,1,107,4,0,0,0,0,0,0,1,0,107,0,0,0,0,4,200009,0,4,0,0,"Normal","Normal"
"3576947",1,1,87,4,0,0,0,0,0,0,1,0,87,0,0,0,0,24,200009,17.1051,24,0,0,"Normal","Normal"
"3576948",1,1,107,4,0,0,0,0,0,0,1,0,107,0,0,0,0,4,200009,0,4,0,0,"Normal","Normal"
"3576949",1,1,87,4,0,0,0,0,0,0,1,0,87,0,0,0,0,24,200009,94.0539,24,0,0,"Normal","Normal"
"3576950",1,1,87,4,0,0,0,0,0,0,1,0,87,0,0,0,0,24,200009,13.4199,24,0,0,"Normal","Normal"
"3576951",1,1,107,4,0,0,0,0,0,0,1,0,107,0,0,0,0,4,200009,0,4,0,0,"Normal","Normal"
"3576952",1,2,180,2,0.048705,0.048705,0,0.048705,0.048705,0.048705,1,1,90,90,20.531773,0,0,4,200009,3.35127,2,24.4,0,"Normal","Normal"
"3576953",1,2,180,2,0.048645,0.048645,0,0.048645,0.048645,0.048645,1,1,90,90,20.557096,0,0,4,200009,4.12964,2,24.4,0,"Normal","Normal"
"3576954",1,1,70,8,0,0,0,0,0,0,1,0,70,0,0,0,0,1,1,0,1,0,0,"Normal","Normal"
"3576955",1,2,180,2,0.00697,0.00697,0,0.00697,0.00697,0.00697,1,1,90,90,143.472031,0,0,2,200009,3.37968,1,24.4,0,"Normal","Normal"
"3576956",1,2,180,2,0.223549,0.223549,0,0.223549,0.223549,0.223549,1,1,90,90,4.473292,0,0,2,200009,13.4199,1,24.4,0,"Normal","Normal"
"3576959",1,1,88,4,0,0,0,0,0,0,1,0,88,0,0,0,0,24,200009,4.12964,24,0,0,"Normal","Normal"
"3576960",1,1,88,4,0,0,0,0,0,0,1,0,88,0,0,0,0,24,200009,2.5924,24,0,0,"Normal","Normal"
"3576961",1,1,88,4,0,0,0,0,0,0,1,0,88,0,0,0,0,24,200009,3.35127,24,0,0,"Normal","Normal"
"3576962",1,1,83,4,0,0,0,0,0,0,1,0,83,0,0,0,0,24,200009,4.12964,24,0,0,"Normal","Normal"
"3576963",1,1,83,4,0,0,0,0,0,0,1,0,83,0,0,0,0,24,200009,2.5924,24,0,0,"Normal","Normal"
"3576964",1,1,60,4,0,0,0,0,0,0,1,0,60,0,0,0,0,24,200009,4.12964,24,0,0,"Normal","Normal"
"3576965",1,1,88,4,0,0,0,0,0,0,1,0,88,0,0,0,0,24,200009,3.37968,24,0,0,"Normal","Normal"
"3576966",1,1,60,4,0,0,0,0,0,0,1,0,60,0,0,0,0,24,200009,2.5924,24,0,0,"Normal","Normal"
"3576967",1,1,83,4,0,0,0,0,0,0,1,0,83,0,0,0,0,24,200009,3.35127,24,0,0,"Normal","Normal"
"3576968",1,1,60,4,0,0,0,0,0,0,1,0,60,0,0,0,0,24,200009,3.35127,24,0,0,"Normal","Normal"
"3576969",1,1,83,4,0,0,0,0,0,0,1,0,83,0,0,0,0,24,200009,3.37968,24,0,0,"Normal","Normal"
"3576970",1,1,60,4,0,0,0,0,0,0,1,0,60,0,0,0,0,24,200009,3.37968,24,0,0,"Normal","Normal"
"3576971",1,1,88,4,0,0,0,0,0,0,1,0,88,0,0,0,0,24,200009,4.12964,24,0,0,"Normal","Normal"
"3576972",1,1,88,4,0,0,0,0,0,0,1,0,88,0,0,0,0,24,200009,2.5924,24,0,0,"Normal","Normal"
"3576973",1,1,88,4,0,0,0,0,0,0,1,0,88,0,0,0,0,24,200009,3.35127,24,0,0,"Normal","Normal"
"3576974",1,1,83,4,0,0,0,0,0,0,1,0,83,0,0,0,0,24,200009,4.12964,24,0,0,"Normal","Normal"
"3576975",1,1,83,4,0,0,0,0,0,0,1,0,83,0,0,0,0,24,200009,2.5924,24,0,0,"Normal","Normal"
"3576976",1,1,88,4,0,0,0,0,0,0,1,0,88,0,0,0,0,24,200009,3.37968,24,0,0,"Normal","Normal"
"3576977",1,2,172,4,2.501117,0,0,0,0,0,2,0,172,0,0.399821,0.399821,0,16,200009,4.12964,8,3.11157,0,"Normal","Normal"
"3576978",1,1,83,4,0,0,0,0,0,0,1,0,83,0,0,0,0,24,200009,3.35127,24,0,0,"Normal","Normal"
"3576979",1,2,172,4,2.500041,0,0,0,0,0,2,0,172,0,0.399993,0.399993,0,16,200009,2.5924,8,3.11157,0,"Normal","Normal"
"3576980",1,2,172,4,2.501191,0,0,0,0,0,2,0,172,0,0.39981,0.39981,0,16,200009,3.35127,8,3.11157,0,"Normal","Normal"
"3576981",1,1,83,4,0,0,0,0,0,0,1,0,83,0,0,0,0,24,200009,3.37968,24,0,0,"Normal","Normal"
"3576982",1,2,172,2,0.007175,0.007175,0,0.007175,0.007175,0.007175,1,1,86,86,139.372818,0,0,20,200009,4.12964,10,3.11157,0,"Normal","Normal"
"3576983",1,2,172,2,0.007346,0.007346,0,0.007346,0.007346,0.007346,1,1,86,86,136.12851,0,0,20,200009,2.5924,10,3.11157,0,"Normal","Normal"
"3576984",1,2,172,4,2.500008,0,0,0,0,0,2,0,172,0,0.399999,0.399999,0,16,200009,3.37968,8,3.11157,0,"Normal","Normal"
"3576985",1,2,172,2,0.006982,0.006982,0,0.006982,0.006982,0.006982,1,1,86,86,143.225433,0,0,20,200009,3.35127,10,3.11157,0,"Normal","Normal"
"3576986",1,2,172,2,0.006987,0.006987,0,0.006987,0.006987,0.006987,1,1,86,86,143.12294,0,0,20,200009,3.37968,10,3.11157,0,"Normal","Normal"
"3576987",1,2,233,2,0.052971,0.052971,0,0.052971,0.052971,0.052971,1,1,79,154,18.878254,0,0,22,200009,94.0539,7,3.11157,0,"Normal","Normal"
"3576989",1,2,233,2,0.00019,0.00019,0,0.00019,0.00019,0.00019,1,1,79,154,5263.157715,0,0,22,200009,94.0539,7,3.11157,0,"Normal","Normal"
"3576991",1,97,29344,2,46.375206,1.528159,1.349996,3.056319,0.178163,2.878156,46,51,5843,23501,2.070072,0.970346,1.078162,84736,228373,10.8203,7,2.09163,0,"Normal","Normal"
"3576992",1,1,183,4,0,0,0,0,0,0,1,0,183,0,0,0,0,24,200009,20.8262,24,0,0,"Normal","Normal"
"3576993",1,1,203,4,0,0,0,0,0,0,1,0,203,0,0,0,0,4,200009,0,4,0,0,"Normal","Normal"
"3576994",1,16225,15080400,2,1479.64624,4.945239,0.026395,1458.845581,4.889463,4.997683,16225,0,15080400,0,10.964783,10.964783,0,84736,228373,10.8203,7,10.9482,0,"Normal","Normal"
"3576995",1,14751,885060,4,1479.699585,4.909315,0.012232,1448.247803,4.89378,4.999954,14751,0,885060,0,9.96824,9.96824,0,84736,200009,9.81687,7,9.81687,0,"Normal","Normal"
"3576996",7,53090,54564495,2,1479.382935,4.962064,0.006599,1463.80896,4.947089,4.99596,26545,26545,25806623,28757872,35.885906,17.942616,17.942616,112543,228373,17.9997,2,35.5576,0,"Normal","Normal"
"3576997",1,53092,53005937,2,1479.436279,4.962133,0.009367,1463.829224,4.947263,4.999143,26546,26546,27205854,25800083,35.885967,17.942644,17.942644,225521,200009,26.668,7,26.668,0,"Normal","Normal"
"3576998",1,8850,2619600,2,1479.542847,4.855529,0.009396,1432.380981,4.839091,4.932051,8850,0,2619600,0,5.980901,5.980901,0,84736,228373,5.9722,7,11.943,0,"Normal","Normal"
"3576999",1,2378,579147,2,1478.75647,3.806379,1.190139,1100.043457,0.148573,4.999984,1190,1188,500739,78408,1.607432,0.804054,0.802701,5396,228373,17.9997,2,1.70849,0,"Normal","Normal"
"3577000",1,26546,25390827,4,1479.433105,4.961647,0.007576,1463.685913,4.946121,4.998017,26546,0,25390827,0,17.942684,17.942684,0,225521,200009,26.668,7,26.668,0,"Normal","Normal"
"3577001",1,26546,25437515,2,1479.433105,4.96171,0.007897,1463.704468,4.946117,4.998015,26546,0,25437515,0,17.942684,17.942684,0,225521,228373,17.9148,7,11.943,0,"Normal","Normal"
"3577002",1,2,190,2,0.144049,0.144049,0,0.144049,0.144049,0.144049,1,1,87,103,6.942082,0,0,22,200009,20.8262,7,3.11157,0,"Normal","Normal"
"3577004",1,2,684,2,0.003554,0.003554,0,0.003554,0.003554,0.003554,1,1,342,342,281.373108,0,0,54,124664,0.0050999,12,562.746,0,"Normal","Normal"
"3577006",1,2,180,2,0.049033,0.049033,0,0.049033,0.049033,0.049033,1,1,90,90,20.394428,0,0,8,124664,3.60888,4,28.3211,0,"Normal","Normal"
"3577008",1,1,70,8,0,0,0,0,0,0,1,0,70,0,0,0,0,3,3,0,3,0,0,"Normal","Normal"
"3577009",1,1,70,8,0,0,0,0,0,0,1,0,70,0,0,0,0,3,3,0,3,0,0,"Normal","Normal"
"3577011",1,2,500,4,900.018799,0,0,0,0,0,2,0,500,0,0.001111,0.001111,0,17,124664,0.00499536,5,0.00351303,0,"Normal","Normal"
"3577012",1,2,201,2,0.14349,0.14349,0,0.14349,0.14349,0.14349,1,1,98,103,6.969127,0,0,2,124664,13.5111,1,0.0830786,0,"Normal","Normal"
"3577013",1,2,1301,2,0.015746,0.015746,0,0.015746,0.015746,0.015746,1,1,85,1216,63.508194,0,0,4,124664,13.5111,2,0.0830786,0,"Normal","Normal"
"3577014",1,2,1209,2,0.015563,0.015563,0,0.015563,0.015563,0.015563,1,1,70,1139,64.254967,0,0,4,124664,13.5111,2,0.0830786,0,"Normal","Normal"
"3577015",1,2,891,2,0.16751,0.16751,0,0.16751,0.16751,0.16751,1,1,85,806,5.969793,0,0,2,124664,13.5111,1,0.0830786,0,"Normal","Normal"
"3577016",1,40,7467,6,170.374344,0.092371,0.121777,0.369485,0.00594,0.302119,22,18,3063,4404,0.228908,0.123258,0.09978,79,142005,1.53993,2,0.748857,0,"Normal","Normal"
"3577017",1,1,180,4,0,0,0,0,0,0,1,0,180,0,0,0,0,2,124664,0,2,0,0,"Normal","Normal"
"3577018",1,1,160,4,0,0,0,0,0,0,1,0,160,0,0,0,0,2,124664,13.5358,2,0,0,"Normal","Normal"
"3577019",1,1,70,8,0,0,0,0,0,0,1,0,70,0,0,0,0,3,3,0,3,0,0,"Normal","Normal"
"3577020",1,8,544,2,1090.456299,3.2e-05,1.3e-05,0.000128,2.1e-05,5.3e-05,4,4,280,264,0.006419,0.002751,0.002751,20,142005,0.00707436,3,0.00707436,0,"Normal","Normal"
"3577022",1,2,180,2,0.048622,0.048622,0,0.048622,0.048622,0.048622,1,1,90,90,20.566822,0,0,8,124664,2.83284,4,28.3211,0,"Normal","Normal"
"3577024",1,2,180,2,0.048539,0.048539,0,0.048539,0.048539,0.048539,1,1,90,90,20.60199,0,0,8,124664,2.26651,4,28.3211,0,"Normal","Normal"
"3577028",1,4,1086,4,728.372864,8.2e-05,1.4e-05,0.000163,6.8e-05,9.5e-05,4,0,1086,0,0.004119,0.004119,0,17,124664,4.71457,5,0.00351303,0,"Normal","Normal"
"3577029",1,2,180,2,0.007474,0.007474,0,0.007474,0.007474,0.007474,1,1,90,90,133.797165,0,0,2,124664,3.4797,1,28.3211,0,"Normal","Normal"
"3577032",1,2,180,2,0.221635,0.221635,0,0.221635,0.221635,0.221635,1,1,90,90,4.511923,0,0,2,124664,13.5358,1,28.3211,0,"Normal","Normal"
"3577035",1,3492,790617,2,1936.802368,4.312233,1.251197,1647.272949,0.006134,4.999997,1746,1746,675381,115236,1.802455,0.900972,0.90097,3492,142005,1.53993,1,1.80297,0,"Normal","Normal"
"3577036",7,70057,71833345,2,1940.859253,4.95646,0.089902,1913.193604,3.560582,4.999832,35028,35029,37747017,34086328,36.095352,18.047161,18.047676,122603,142005,36.0959,5,20.0635,0,"Normal","Normal"
"3577037",1,35029,33491025,4,1940.859253,4.956414,0.091445,1913.175903,3.56061,4.99944,35029,0,33491025,0,18.047676,18.047676,0,140113,124664,27.0721,3,27.0721,0,"Normal","Normal"
"3577038",1,35028,33447147,2,1940.80957,4.95627,0.093453,1913.120361,3.510904,4.999456,35028,0,33447147,0,18.047623,18.047623,0,140113,142005,18.0481,3,20.0635,0,"Normal","Normal"
"3577039",1,21369,19736679,2,1940.759888,4.920921,0.098533,1899.475586,3.455623,4.997121,21369,0,19736679,0,11.01012,11.01012,0,122603,142005,11.0106,5,11.0106,0,"Normal","Normal"
"3577040",1,19442,1166520,4,1940.80957,4.906859,0.096352,1894.047485,3.504733,4.978014,19442,0,1166520,0,10.016953,10.016953,0,122603,124664,4.71457,5,10.0175,0,"Normal","Normal"
"3577041",1,70056,69911387,2,1940.80603,4.956452,0.093033,1913.19043,3.560613,4.999815,35028,35028,35835594,34075793,36.095829,18.047657,18.047657,140113,124664,27.0721,3,27.0721,0,"Normal","Normal"
"3577042",1,11733,3472968,2,1940.756348,4.85817,0.09645,1875.253662,3.505328,4.978014,11733,0,3472968,0,6.045066,6.045066,0,122603,142005,6.04558,5,20.0635,0,"Normal","Normal"
"3577043",1,6,1629,4,1456.749512,0.000191,3.1e-05,0.000572,0.000148,0.000222,6,0,1629,0,0.003432,0.003432,0,17,124664,4.71457,5,0.00351303,0,"Normal","Normal"
"3577044",1,2,132,4,0.1061,0.1061,0,0.1061,0.1061,0.1061,2,0,132,0,9.425071,9.425071,0,2,124664,0.00499536,1,18.8501,0,"Normal","Normal"
"3577045",1,3,276,4,1.528407,1.528407,0,1.528407,1.528407,1.528407,3,0,276,0,1.308552,1.308552,0,17,124664,0.00499536,5,1.96283,0,"Normal","Normal"
"3577046",1,2,333,2,0.30755,0.30755,0,0.30755,0.30755,0.30755,1,1,98,235,3.251504,0,0,2,124664,13.5111,1,0.0830786,0,"Normal","Normal"
"3577047",1,2,366,2,0.295126,0.295126,0,0.295126,0.295126,0.295126,1,1,98,268,3.388383,0,0,2,124664,13.5111,1,0.0830786,0,"Normal","Normal"
"3577048",1,2,1295,2,0.175987,0.175987,0,0.175987,0.175987,0.175987,1,1,82,1213,5.682238,0,0,4,124664,13.5111,2,0.0830786,0,"Normal","Normal"
"3577049",1,2,1209,2,0.17588,0.17588,0,0.17588,0.17588,0.17588,1,1,70,1139,5.685695,0,0,4,124664,13.5111,2,0.0830786,0,"Normal","Normal"
"3577050",1,2,885,2,0.167138,0.167138,0,0.167138,0.167138,0.167138,1,1,82,803,5.98308,0,0,2,124664,13.5111,1,0.0830786,0,"Normal","Normal"
"3577051",1,2,323,2,0.283312,0.283312,0,0.283312,0.283312,0.283312,1,1,93,230,3.529678,0,0,2,124664,13.5111,1,0.0830786,0,"Normal","Normal"
"3577052",1,2,419,2,0.009264,0.009264,0,0.009264,0.009264,0.009264,1,1,93,326,107.944733,0,0,2,124664,13.5111,1,0.0830786,0,"Normal","Normal"
"3577053",1,2,1290,2,0.057797,0.057797,0,0.057797,0.057797,0.057797,1,1,81,1209,17.301935,0,0,4,124664,13.5111,2,0.0830786,0,"Normal","Normal"
"3577054",1,2,1209,2,0.057087,0.057087,0,0.057087,0.057087,0.057087,1,1,70,1139,17.517122,0,0,4,124664,13.5111,2,0.0830786,0,"Normal","Normal"
"3577055",1,2,883,2,0.164684,0.164684,0,0.164684,0.164684,0.164684,1,1,81,802,6.072236,0,0,2,124664,13.5111,1,0.0830786,0,"Normal","Normal"
"3577056",1,10,680,2,1453.943237,4.6e-05,3.5e-05,0.000228,1.6e-05,0.00011,5,5,350,330,0.00619,0.002751,0.002751,20,142005,0.00707436,3,0.00707436,0,"Normal","Normal"
"3577058",1,32,6721,6,61.455345,0.301399,0.350856,2.109795,0.155417,1.160759,18,14,2393,4328,0.504431,0.276624,0.211536,32,142005,1.53993,1,0.748857,0,"Normal","Normal"
"3577059",1,2,172,4,2.500013,0,0,0,0,0,2,0,172,0,0.399998,0.399998,0,18,124664,2.26651,9,0.0830786,0,"Normal","Normal"
"3577061",1,2,172,2,0.007516,0.007516,0,0.007516,0.007516,0.007516,1,1,86,86,133.0495,0,0,42,124664,2.26651,14,0.0830786,0,"Normal","Normal"
"3577062",1,2,172,4,2.500081,0,0,0,0,0,2,0,172,0,0.399987,0.399987,0,18,124664,2.26651,9,0.0830786,0,"Normal","Normal"
"3577063",1,2,500,4,900.018982,0,0,0,0,0,2,0,500,0,0.001111,0.001111,0,17,124664,0.00499536,5,0.00351303,0,"Normal","Normal"
"3577064",1,2,180,2,0.04841,0.04841,0,0.04841,0.04841,0.04841,1,1,90,90,20.656889,0,0,8,124664,3.60888,4,28.3211,0,"Normal","Normal"
"3577067",1,4,602,2,0.282753,0.219402,0.060596,0.438804,0.158806,0.279998,2,2,164,438,10.609967,362.97641,8.067965,42,124664,3.60888,14,0.0830786,0,"Normal","Normal"
"3577068",1,30,17679,6,0.82394,0.82394,0,0.82394,0.82394,0.82394,15,15,7007,10672,35.196739,16.991529,16.991529,123,142005,23.2446,4,0.748857,0,"Normal","Normal"
"3577069",1,4,602,2,0.447222,0.298667,0.148552,0.597334,0.150115,0.447219,2,2,164,438,6.708078,333333.3125,3.365791,42,124664,2.83284,14,0.0830786,0,"Normal","Normal"
"3577070",3,33,20848,6,1.525284,1.525284,0,1.525284,1.525284,1.525284,17,16,7215,13633,20.979698,10.489849,9.834234,123,142005,19.9066,4,0.748857,0,"Normal","Normal"
"3577071",1,4,602,2,0.371472,0.313363,0.058107,0.626725,0.255255,0.37147,2,2,164,438,8.075979,5e+05,8.604593,42,124664,2.26651,14,0.0830786,0,"Normal","Normal"
"3577072",1,31,17739,6,0.873009,0.873009,0,0.873009,0.873009,0.873009,16,15,7073,10666,34.363907,17.181953,16.036489,123,142005,24.1581,4,0.748857,0,"Normal","Normal"
"3577073",1,4,440,2,0.144525,0.144295,0.000225,0.28859,0.144065,0.144525,2,2,162,278,20.757654,1e+06,2178.64917,42,124664,3.60888,14,0.0830786,0,"Normal","Normal"
"3577074",1,24,8105,6,1.499182,1.499182,0,1.499182,1.499182,1.499182,13,11,1646,6459,15.3417,8.004365,6.670304,74,142005,23.2446,3,0.748857,0,"Normal","Normal"
"3577075",1,4,440,2,0.143718,0.143302,0.000413,0.286604,0.142889,0.143715,2,2,162,278,20.874212,333333.3125,1206.272583,42,124664,2.83284,14,0.0830786,0,"Normal","Normal"
"3577076",1,25,8219,6,1.388327,1.388327,0,1.388327,1.388327,1.388327,13,12,1646,6573,17.286993,8.643497,7.923205,74,142005,19.9066,3,0.748857,0,"Normal","Normal"
"3577077",1,4,440,2,0.144507,0.144179,0.000324,0.288358,0.143855,0.144503,2,2,162,278,20.760239,250000,1533.74231,42,124664,2.26651,14,0.0830786,0,"Normal","Normal"
